Animals,Countries,Capitals,Movies,Sports,Musical Instruments,Professions,Famous Scientists,Famous Landmarks,TV Shows,Books,Famous actors
Puffin,Mexico,Mexico City,,,,,,,,,
Albatross,Micronesia,Palikir,,,,,,,,,
Kookaburra,Moldova,Moldova,,,,,,,,,
Platypus,Monaco,Monaco,,,,,,,,,
Echidna,Mongolia,Ulaanbaatar,,,,,,,,,
Wombat,Montenegro,Podgorica,,,,,,,,,
Tasmanian devil,Morocco,Rabat,,,,,,,,,
Cassowary,Mozambique,Maputo,,,,,,,,,
Emu,Myanmar,Yangon,,,,,,,,,
Kangaroo rat,Namibia,Windhoek,,,,,,,,,
Capybara,Nauru,Yamoussoukro,,,,,,,,,
Agouti,Nepal,Abuja,,,,,,,,,
Fossa,Netherlands,Lima,,,,,,,,,
Margay,New Zealand,Manila,,,,,,,,,
Kinkajou,Nicaragua,Warsaw,,,,,,,,,
Coati,Niger,Lisbon,,,,,,,,,
Opossum,Nigeria,Doha,,,,,,,,,
Bandicoot,North Macedonia,Bucharest,,,,,,,,,
Quokka,Norway,Moscow,,,,,,,,,
Quoll,Oman,Kigali,,,,,,,,,
Numbat,Pakistan,São Tomé,,,,,,,,,
Dingo,Palau,Riyadh,,,,,,,,,
Caracal,Panama,Dakar,,,,,,,,,
Snow leopard,Papua New Guinea,Belgrade,,,,,,,,,
Saiga,Paraguay,Victoria,,,,,,,,,
Vicuna,Peru,Freetown,,,,,,,,,
Okapi,Philippines,Singapore,,,,,,,,,
Dik-dik,Poland,Ljubljana,,,,,,,,,
Duiker,Portugal,Honiara,,,,,,,,,
Jackal,Qatar,Mogadishu,,,,,,,,,
Hyena,Romania,South Tarawa,,,,,,,,,
Aye-aye,Russia,Bern,,,,,,,,,
Tarsier,Rwanda,Colombo,,,,,,,,,
Galago,Saint Kitts and Nevis,Khartoum,,,,,,,,,
Binturong,Saint Lucia,Paramaribo,,,,,,,,,
Civet,Saint Vincent and the Grenadines,Stockholm,,,,,,,,,
Genet,Samoa,Bern,,,,,,,,,
Fennec fox,San Marino,Damascus,,,,,,,,,
Dhole,Sao Tome and Principe,Taipei,,,,,,,,,
Lynx,Saudi Arabia,Tashkent,,,,,,,,,
Bobcat,Senegal,Dodoma,,,,,,,,,
Cougar,Serbia,Bangui,,,,,,,,,
Puma,Seychelles,Port Moresby,,,,,,,,,
Clouded leopard,Sierra Leone,Cairo,,,,,,,,,
Siamang,Singapore,Kingston,,,,,,,,,
Proboscis monkey,Slovakia,Vatican City,,,,,,,,,
Marmoset,Slovenia,Caracas,,,,,,,,,
Tamarin,Solomon Islands,Hanoi,,,,,,,,,
Pika,Somalia,Yerevan,,,,,,,,,
Mole,South Africa,Harare,,,,,,,,,
Shrew,South Sudan,,,,,,,,,,
Pangolin,Spain,,,,,,,,,,
Jerboa,Sri Lanka,,,,,,,,,,
Springbok,Sudan,,,,,,,,,,
Gazelle,Suriname,,,,,,,,,,
Impala,Sweden,,,,,,,,,,
Red panda,Switzerland,,,,,,,,,,
Sun bear,Syria,,,,,,,,,,
Spectacled bear,Taiwan,,,,,,,,,,
Mountain goat,Tajikistan,,,,,,,,,,
Musk ox,Tanzania,,,,,,,,,,
Chinchilla,Thailand,,,,,,,,,,
Vicuña,Timor-Leste,,,,,,,,,,
Gerbil,Togo,,,,,,,,,,
Guinea pig,Tonga,,,,,,,,,,
Hamster,Trinidad and Tobago,,,,,,,,,,
Cavy,Tunisia,,,,,,,,,,
Weasel,Turkey,,,,,,,,,,
Ferret,Turkmenistan,,,,,,,,,,
Ermine,Tuvalu,,,,,,,,,,
Stoat,Uganda,,,,,,,,,,
Badger,Ukraine,,,,,,,,,,
Wolverine,United Arab Emirates,,,,,,,,,,
Polecat,United Kingdom,,,,,,,,,,
Mink,United States,,,,,,,,,,
Harpy eagle,Uruguay,,,,,,,,,,
Secretary bird,Uzbekistan,,,,,,,,,,
Shoebill,Vanuatu,,,,,,,,,,
Hornbill,Vatican City,,,,,,,,,,
Lyrebird,Venezuela,,,,,,,,,,
Bowerbird,Vietnam,,,,,,,,,,
Magpie,Yemen,,,,,,,,,,
Stork,Zambia,,,,,,,,,,
Heron,Zimbabwe,,,,,,,,,,
Ibis,,,,,,,,,,,
Spoonbill,,,,,,,,,,,
Kingfisher,,,,,,,,,,,
Mockingbird,,,,,,,,,,,
Cuckoo,,,,,,,,,,,
